"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
371/23,"Podlaska Wytwórnia Wódek   ""POLMOS""   Spółka Akcyjna",00-483,Warszawa,"ul. Frascati 12 ","WOJ. MAZOWIECKIE",2025-01-06
372/23,"WYBOROWA  Spółka  Akcyjna",61-070,Poznań,"ul. Janikowska 23 ","WOJ. WIELKOPOLSKIE",2024-12-31
373/23,"GIFT  Spółka z ograniczoną odpowiedzialnością",33-113,"Zbylitowska Góra","ul. Krakowska 1","WOJ. MAŁOPOLSKIE",2025-01-01
374/23,"ALEX   W. Adamczyk    Spółka Jawna",26-052,Nowiny,"ul. Przemysłowa 25 ","WOJ. ŚWIĘTOKRZYSKIE",2025-01-03
375/23,"FAMILIA Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",32-400,Myślenice,"ul. Juliusza Słowackiego 71","WOJ. MAŁOPOLSKIE",2024-12-31
376/23,"CEDC INTERNATIONAL  Spółka z ograniczoną odpowiedzialnością",64-600,Oborniki,"ul. Kowanowska 48 ","WOJ. WIELKOPOLSKIE",2024-12-31
377/23,"Romuald Madziąg Firma ""Romulus""",77-100,Bytów,"ul. Przemysłowa 2B","WOJ. POMORSKIE",2024-12-31
378/23,"MOET HENNESSY POLSKA  Spółka z ograniczoną odpowiedzialnością",00-078,Warszawa,"Plac Marsz. Józefa Piłsudskiego 1","WOJ. MAZOWIECKIE",2025-01-15
379/23,"OTWOCKA SPÓŁDZIELNIA HANDLOWA",05-400,Otwock,"ul. Świderska 2/4 ","WOJ. MAZOWIECKIE",2024-12-31
380/23,"PREMIUM ALCOHOLS  Spółka z ograniczoną odpowiedzialnością",05-816,Reguły,"Al. Jerozolimskie 298 ","WOJ. MAZOWIECKIE",2024-12-18
381/23,"SŁAWOMIR OPIŁA  TOAST",27-200,Starachowice,"ul. inż. Władysława Rogowskiego 7 ","WOJ. ŚWIĘTOKRZYSKIE",2025-01-03
382/23,"NAVIGATOR M.Pilaciński Spółka komandytowa",03-236,Warszawa,"ul. Annopol 3","WOJ. MAZOWIECKIE",2024-12-31
383/23,"""VITA IDEA""  Spółka z ograniczoną odpowiedzialnością",93-348,Łódź,"ul. Demokratyczna 115/235D","WOJ. ŁÓDZKIE",2024-12-31
384/23,"ARTISAN Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",02-001,Warszawa,"Aleje Jerozolimskie 85/21","WOJ. MAZOWIECKIE",2024-12-19
385/23,"Makro Cash and Carry Polska  Spółka Akcyjna",02-486,Warszawa,"Aleje Jerozolimskie 186","WOJ. MAZOWIECKIE",2024-12-31
386/23,"""LUX"" Hurtownia Artykułów Spożywczych  Grażyna Kwiatkowska",87-820,Kowal,"ul. Kazimierza Wielkiego 43","WOJ. KUJAWSKO-POMORSKIE",2025-01-03
387/23,"NATURA SYSTEM  Grażyna i Grzegorz Maciantowicz  Spółka Jawna",41-704,"Ruda Śląska","ul. Jesionowa 22 ","WOJ. ŚLĄSKIE",2024-12-31
388/23,"MILLE SAPORI PLUS  Spółka z ograniczoną odpowiedzialnością",02-495,Warszawa,"ul. Kazimierza Gierdziejewskiego 7 ","WOJ. MAZOWIECKIE",2025-01-21
389/23,"POSEJDON - ADAMUS  Spółka z ograniczoną odpowiedzialnością",90-135,Łódź,"ul. Prezydenta Gabriela Narutowicza 40/1","WOJ. ŁÓDZKIE",2025-01-03
390/23,"MUNDIVIE Spółka Akcyjna",43-385,Jasienica,"Jasienica 607 ","WOJ. ŚLĄSKIE",2025-01-31
391/23,"""POLOMARKET""   Spółka z ograniczoną odpowiedzialnością",88-170,Pakość,"Giebnia  20 ","WOJ. KUJAWSKO-POMORSKIE",2025-01-24
392/23,"ALIANS GWÓŹDŹ   SPÓŁKA JAWNA",40-642,Katowice,"ul. Spółdzielczości 31 ","WOJ. ŚLĄSKIE",2025-01-03
393/23,"Premium Distillers  Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3","WOJ. MAZOWIECKIE",2024-12-31
394/23,"AMKA  Spółka z ograniczoną odpowiedzialnością",02-972,Warszawa,"Aleja Rzeczypospolitej 18/83","WOJ. MAZOWIECKIE",2025-02-28
395/23,"""SCA  PR POLSKA""   Spółka z ograniczoną odpowiedzialnością",62-080,"Tarnowo Podgórne, Swadzim","ul. Św. Mikołaja 5 ","WOJ. WIELKOPOLSKIE",2025-01-17
396/23,"MARIOTT   Spółka z ograniczoną odpowiedzialnością",93-231,Łódź,"ul. Dąbrowskiego 247/249 ","WOJ. ŁÓDZKIE",2025-01-03
397/23,"Bayadera Poland Spółka z ograniczoną odpowiedzialnością",02-054,Warszawa,"ul. Jana Dantyszka 18","WOJ. MAZOWIECKIE",2025-01-16
398/23,"GIN DOM GIOVANNI COSTA",43-227,Gilowice,"ul. Wojciecha Korfantego 116","WOJ. ŚLĄSKIE",2024-12-31
399/23,"Bieszczadzkie Smaki Spółka z ograniczoną odpowiedzialnością",38-543,Komańcza,"Wola Michowa 7","WOJ. PODKARPACKIE",2024-12-21
400/23,"PILOT D&S Spółka z ograniczoną odpowiedzialnością",03-310,Warszawa,"ul. Staniewicka 5","WOJ. MAZOWIECKIE",2025-01-12
401/23,"P.H.U. JOLMAR Maria GÓRECKA",09-200,Sierpc,"ul. Romualda Traugutta 24 ","WOJ. MAZOWIECKIE",2025-01-31
402/23,"WERDA  Spółka Cywilna Weronika Niekrasiewicz, Dorota Niekrasiewicz-Zaborowicz",63-000,"Środa Wielkopolska","ul. Harcerska 18","WOJ. WIELKOPOLSKIE",2024-12-19
403/23,"FRAC DETAL Spółka z ograniczoną odpowiedzialnością",35-959,Rzeszów,"ul. Lwowska 6","WOJ. PODKARPACKIE",2025-01-06
404/23,"WORMAR K Spółka z ograniczoną odpowiedzialnością",83-300,Kartuzy,"ul. Zamkowa 23","WOJ. POMORSKIE",2025-03-03
405/23,"""PIWO - POL""  Spółka z ograniczoną odpowiedzialnością",21-040,Świdnik,"ul. Mełgiewska   13 ","WOJ. LUBELSKIE",2025-01-03
406/23,"""HURTOWNIA PIAST""   Spółka z ograniczoną odpowiedzialnością",58-100,Świdnica,"ul. Hetmańska   6 ","WOJ. DOLNOŚLĄSKIE",2025-01-03
407/23,"RAFAŁ DZILIŃSKI",06-400,Ciechanów,"ul. Leśna 52 ","WOJ. MAZOWIECKIE",2025-02-21
408/23,"SAJON GROUP Spółka z ograniczoną odpowiedzialnością",55-114,"Wisznia Mała, Kryniczno","ul. Polna 8","WOJ. DOLNOŚLĄSKIE",2024-12-27
409/23,"BENE   Spółka z ograniczoną odpowiedzialnością",64-010,Lubiń,"ul. A.Mickiewicza 6 ","WOJ. WIELKOPOLSKIE",2025-01-16
410/23,"NALEWKIKRESOWE.PL  Stanisław Smarduch",49-200,Grodków,"ul. Wrocławska 63 ","WOJ. OPOLSKIE",2025-01-04
1/24,"""SPOŁEM""  Powszechna Spółdzielnia Spożywców w Lubaniu",59-800,Lubań,"ul. Tkacka 27 ","WOJ. DOLNOŚLĄSKIE",2025-01-31
2/24,"Mazurska Manufaktura Spółka Akcyjna",12-100,Szczytno,"ul. Adama Mickiewicza 5","WOJ. WARMIŃSKO-MAZURSKIE",2025-01-21
3/24,"The Last Port Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",81-350,Gdynia,"ul. Portowa 5/1","WOJ. POMORSKIE",2025-01-30
3/W/24,"Wojciech Kieraś Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""MARKUS""",98-100,Łask,"ul. Objazdowa 1B","WOJ. ŁÓDZKIE",2024-11-10
4/24,"""INTERBIS""   Marek Kwaśniak",27-400,"Ostrowiec Świętokrzyski","ul. Jana Kilińskiego 49 ","WOJ. ŚWIĘTOKRZYSKIE",2025-01-09
4/W/24,"Oktan Energy - Wina  Spółka z ograniczoną odpowiedzialnością",70-606,Szczecin,"ul. Hryniewieckiego 1","WOJ. ZACHODNIOPOMORSKIE",2024-12-04
5/24,"MILER SPIRITS Spółka z ograniczoną odpowiedzialnością",61-829,Poznań,"ul. Podgórna 4","WOJ. WIELKOPOLSKIE",2025-01-16
6/24,"Powszechna Spółdzielnia Spożywców    ""SPOŁEM""  w Białymstoku",15-950,Białystok,"ul. Rynek Kościuszki 15 ","WOJ. PODLASKIE",2025-01-31
7/24,"Firma Handlowo-Usługowa  ""GASPARO""   Marek Rams",32-340,Wolbrom,"Kąpiele Wielkie 168 a ","WOJ. MAŁOPOLSKIE",2025-01-31
8/24,"""AUCHAN POLSKA""  Spółka z ograniczoną odpowiedzialnością",05-500,Piaseczno,"ul. Puławska 46 ","WOJ. MAZOWIECKIE",2025-02-12
9/24,"""STABOL"" Spółka Jawna  Stoszek Stanisław - Cymor Bolesław",43-400,Cieszyn,"ul. Rudowska 33 ","WOJ. ŚLĄSKIE",2025-01-31
10/24,"LOBO   Spółka z ograniczoną odpowiedzialnością",31-588,Kraków,"ul. Isep 9 ","WOJ. MAŁOPOLSKIE",2025-01-31
11/24,"Wódki Regionalne   Spółka z ograniczoną odpowiedzialnością",43-370,Szczyrk,"ul. Myśliwska 74","WOJ. ŚLĄSKIE",2025-01-31
12/24,"Hemar Dystrybucja Paweł Antczak",62-650,Kłodawa,"ul. Łęczycka 11A","WOJ. WIELKOPOLSKIE",2025-01-31
13/24,"Przedsiębiorstwo Produkcyjno Usługowo Handlowe  ""SIMS""  Sylwester Siatkowski",64-920,Piła,"ul. Żeromskiego 83","WOJ. WIELKOPOLSKIE",2025-01-31
14/24,"LONGINA  SPRYSZAK  FIRMA  HANDLOWA",23-225,Szastarka,"Polichna Pierwsza 14","WOJ. LUBELSKIE",2025-01-19
15/24,"Manufaktura Nalewek  Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Pużaka 49 ","WOJ. PODKARPACKIE",2025-03-04
16/24,"Kaprys Polski Sklep Spółka z ograniczoną odpowiedzialnością",58-200,Dzierżoniów,"Osiedle Błekitne 27","WOJ. DOLNOŚLĄSKIE",2025-01-14
17/24,"TESSELLIS DISTILLERY Spółka z ograniczoną odpowiedzialnością",44-153,Sośnicowice,"ul. Kozielska 2","WOJ. ŚLĄSKIE",2025-02-02
18/24,"CERVILLE INVESTMENTS  Spółka z ograniczoną odpowiedzialnością",02-705,Warszawa,"ul. Czerniowiecka 2B ","WOJ. MAZOWIECKIE",2025-02-14
19/24,"""PHU WYSOKIŃSKI""  Spółka z ograniczoną odpowiedzialnością",02-972,Warszawa,"ul. Adama Branickiego 9/90","WOJ. MAZOWIECKIE",2025-02-14
20/24,"FILABORA  FB  KOŁPA  & KOŁPA SPÓŁKA  KOMANDYTOWA",33-140,"Lisia Góra","ul. Tarnowska 7","WOJ. MAŁOPOLSKIE",2025-02-28
21/24,"""WIZ""  Spółka z ograniczoną odpowiedzialnością",09-200,Sierpc,"ul. Instalatorów nr 3B ","WOJ. MAZOWIECKIE",2025-01-31
22/24,"Manufaktura Kapucynów Spółka z ograniczoną odpowiedzialnością",31-114,Kraków,"ul. Loretańska 11","WOJ. MAŁOPOLSKIE",2025-01-31
23/24,"Manufaktura Maurera Spółka z ograniczoną odpowiedzialnością",33-390,Łącko,"Zarzecze 1B ","WOJ. MAŁOPOLSKIE",2025-02-13
24/24,"Wanda Łęgosz P.H.U. RUDMAR",46-325,Rudniki,"ul. Biegańskiego 7 ","WOJ. OPOLSKIE",2025-02-16
25/24,"MARGOP Mariusz Bogdański",05-092,Łomianki,"Warszawska 95A","WOJ. MAZOWIECKIE",2025-01-31
26/24,"RIBENA  Spółka z ograniczoną odpowiedzialnością",83-340,Sierakowice,"Wygoda Sierakowska 208","WOJ. POMORSKIE",2025-02-01
27/24,"ANPAH BIS Paweł Janiak",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2025-02-14
28/24,"""NALEWKI STAROPOLSKIE   KAROL  MAJEWSKI  I WSPÓLNICY""  Spółka z ograniczoną odpowiedzialnością",05-092,Łomianki,"ul. Wiosenna 60 ","WOJ. MAZOWIECKIE",2025-02-07
29/24,"WOLF AND OAK DISTILLERY SPÓŁKA  AKCYJNA",80-864,Gdańsk,"ul. Jana z Kolna 11","WOJ. POMORSKIE",2025-01-31
30/24,"MAXIM DYSTRYBUCJA Spółka z ograniczoną odpowiedzialnością",08-400,Garwolin,"ul. Parysowska 2","WOJ. MAZOWIECKIE",2025-01-21
31/24,"ALCORA Spółka z ograniczoną odpowiedzialnością",02-237,Warszawa,"ul. Instalatorów 23","WOJ. MAZOWIECKIE",2025-03-03
32/24,"""Polska Dystrybucja Alkoholi""    Spółka z ograniczoną odpowiedzialnością",95-200,Pabianice,"ul. Rzgowska 276A","WOJ. ŁÓDZKIE",2025-01-31
33/24,"DRAKE Spółka z ograniczoną odpowiedzialnością",64-060,Wolkowo,"Maksymilianowo 40","WOJ. WIELKOPOLSKIE",2025-01-31
34/24,"""ROLMEX"" Spółka Akcyjna",02-604,Warszawa,"ul. Olkuska 7 ","WOJ. MAZOWIECKIE",2025-03-01
35/24,"Winnica Libiąż Spółka z ograniczoną odpowiedzialnością",02-699,Warszawa,"ul. Kłobucka 23D/118","WOJ. MAZOWIECKIE",2025-02-09
36/24,"Firma Handlowa ""GAJEWCZYK BIS""  Wiktor Gajewczyk",98-220,"Zduńska Wola","ul. Żytnia 14 B ","WOJ. ŁÓDZKIE",2025-02-28
37/24,"Retail & Food Services Polska  Spółka z ograniczoną odpowiedzialnością",81-339,Gdynia,"ul. Polska 4","WOJ. POMORSKIE",2025-02-14
38/24,"""BACARDI-MARTINI  POLSKA""  Spółka z ograniczoną odpowiedzialnością",02-675,Warszawa,"ul. Wołoska 22 ","WOJ. MAZOWIECKIE",2025-03-26
39/24,"IRJAN Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",63-600,Kępno,"Mianowice 1G","WOJ. WIELKOPOLSKIE",2025-01-31
40/24,"SSG POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",05-552,Łazy,"Aleja Krakowska  225","WOJ. MAZOWIECKIE",2025-02-05
41/24,"""BORT-WIMAR""  Spółka Jawna",49-200,Grodków,"ul. Sienkiewicza 104","WOJ. OPOLSKIE",2025-02-19
42/24,"MAROL  Spółka z ograniczoną odpowiedzialnością",61-249,Poznań,"ul. Stanisława Zwierzchowskiego 25","WOJ. WIELKOPOLSKIE",2025-04-10
43/24,"FERIER Spółka z ograniczoną odpowiedzialnością",02-822,Warszawa,"ul. Poleczki 23","WOJ. MAZOWIECKIE",2025-02-14
44/24,"REFLEX  Spółka z ograniczoną odpowiedzialnością",43-502,Czechowice-Dziedzice,"ul. Władysława Stanisława Reymonta 18","WOJ. ŚLĄSKIE",2025-02-19
45/24,"KUCHNIE ŚWIATA Spółka Akcyjna",01-708,Warszawa,"ul. Słodowiec 10/10","WOJ. MAZOWIECKIE",2025-02-12
46/24,"BLUMAK  Maciej Uchański",50-452,Wrocław,"ul. Komuny Paryskiej 72","WOJ. DOLNOŚLĄSKIE",2025-03-01
47/24,"PRZEDSIĘBIORSTWO SAVPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",44-100,Gliwice,"Sowińskiego 7","WOJ. ŚLĄSKIE",2025-02-28
48/24,"Nalewki Gniewski Dwór Robert Galiński",82-500,Kwidzyn,"Gniewskie Pole 24","WOJ. POMORSKIE",2025-02-14
49/24,"BARTEX  BARTOL   Spółka z ograniczoną odpowiedzialnością   Spółka Komandytowa",64-300,"Nowy  Tomyśl","Paproć  111 ","WOJ. WIELKOPOLSKIE",2025-04-01
50/24,"DISTRIBEV   Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3","WOJ. MAZOWIECKIE",2025-02-28
51/24,"ORZEŁEK Spółka z ograniczoną odpowiedzialnością",35-312,Rzeszów,"ul. bp. Józefa Sebastiana Pelczara 6C/8","WOJ. PODKARPACKIE",2025-02-14
52/24,"UNIQUE SPIRITS Spółka z ograniczoną odpowiedzialnością",98-200,Sieradz,"ul. Targowa 2","WOJ. ŁÓDZKIE",2025-02-01
53/24,"Alko-Trade Krzysztof Lisiecki",77-100,Bytów,"ul. Lęborska 18","WOJ. POMORSKIE",2025-02-28
54/24,"HJK CC Spółka z ograniczoną odpowiedzialnością",04-058,Warszawa,"ul. Spalinowa 5","WOJ. MAZOWIECKIE",2025-02-09
55/24,"MEDIPHARM INTERNATIONAL Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",64-316,Kuślin,"ul. Emilii Sczanieckiej 20B","WOJ. WIELKOPOLSKIE",2025-02-07
56/24,"PRAVDA Spółka  z ograniczoną odpowiedzialnością",43-300,"Bielsko - Biała","ul. Międzyrzecka 152 ","WOJ. ŚLĄSKIE",2025-02-28
57/24,"""KAMIX""  Spółka z ograniczoną odpowiedzialnością",02-238,Warszawa,"ul. Modularna 12 lok. 400","WOJ. MAZOWIECKIE",2025-02-28
58/24,"AGA II Agata Modrzejewska Spółka Jawna",00-773,Warszawa,"ul. Dolna 7","WOJ. MAZOWIECKIE",2025-02-07
59/24,"Przedsiębiorstwo Handlowo-Usługowe ""TOPAZ"" Spółka z ograniczoną odpowiedzialnością (dawniej: Paczóski Zbigniew Przedsiębiorstwo Handlowo-Uslugowe ""Topaz"")",08-300,"Sokołów Podlaski","ul. Kolejowa 3 B","WOJ. MAZOWIECKIE",2025-03-16
60/24,"Dirma Handlowo-Usługowa  Jacek Chudzik",81-345,Gdynia,"al. Jana Pawła II 1","WOJ. POMORSKIE",2025-02-02
61/24,"""JAKO""   Spółka z ograniczoną odpowiedzialnością",62-817,Żelazków,"Kokanin  44 ","WOJ. WIELKOPOLSKIE",2025-02-28
62/24,"GM KRAFT Spółka z ograniczoną odpowiedzialnością",30-519,Kraków,"ul. Jana Zamoyskiego 81","WOJ. MAŁOPOLSKIE",2025-02-23
63/24,"SAKE MARUTA Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",60-595,Poznań,"ul. Dobra 26","WOJ. WIELKOPOLSKIE",2025-02-25
64/24,"PPHU WIN-PIW BIS  Ireneusz Auguścik",97-570,Przedbórz,"ul. Spacerowa 2 ","WOJ. ŁÓDZKIE",2025-02-28
65/24,"REST-D GASTROX  Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",34-300,Żywiec,"ul. Stefana Batorego 16","WOJ. ŚLĄSKIE",2025-03-31
66/24,"GM KRAFT Spółka z ograniczoną odpowiedzialnością",30-519,Kraków,"ul. Jana Zamoyskiego 81","WOJ. MAŁOPOLSKIE",2025-02-23
67/24,"M&P  PAVLINA  Spółka z ograniczoną odpowiedzialnością  Spółka Komandytowa",05-270,Marki,"ul. Leonida Teligi 1 A ","WOJ. MAZOWIECKIE",2025-03-31
68/24,"DRINKS  Spółka z ograniczoną odpowiedzialnością",62-200,Gniezno,"ul. Leopolda Okulickiego 21","WOJ. WIELKOPOLSKIE",2025-02-14
69/24,"OLV  Spółka Akcyjna",08-304,"Jabłonna Lacka","Morszków 56","WOJ. MAZOWIECKIE",2025-02-28
70/24,"A&T GROUP Spółka z ograniczoną odpowiedzialnością",00-843,Warszawa,"Rondo Ignacego Daszyńskiego 2B","WOJ. MAZOWIECKIE",2025-02-18
71/24,"Izydorczyk Michał - ""IZI""",87-700,"Aleksandrów Kujawski,  Rożno-Parcele","ul. Akacjowa 24","WOJ. KUJAWSKO-POMORSKIE",2025-03-10
72/24,"POLSKI TYTOŃ  Spółka Akcyjna",26-600,Radom,"ul. Tartaczna 29 ","WOJ. MAZOWIECKIE",2025-03-20
73/24,"DRAVA PETAR BURULIC",01-494,Warszawa,"ul. Widawska 5/21","WOJ. MAZOWIECKIE",2025-03-02
74/24,"Wielkopolska Manufaktura Wódek Spółka Akcyjna",62-095,"Murowana Goślina","ul. Polna 21","WOJ. WIELKOPOLSKIE",2025-03-20
75/24,"MACON Spółka z ograniczoną odpowiedzialnością",81-061,Gdynia,"ul. Hutnicza 48","WOJ. POMORSKIE",2025-02-28
76/24,"""PARTNER CENTER""  Spółka z ograniczoną odpowiedzialnością",90-423,Łódź,"ul. Piotrkowska 89 ","WOJ. ŁÓDZKIE",2025-03-18
77/24,"WINEONLINE  Spółka z ograniczoną odpowiedzialnością",02-285,Warszawa,"ul. Szyszkowa 43 ","WOJ. MAZOWIECKIE",2025-03-31
78/24,"RZEP-PLUS PALUCH Spółka Jawna",87-100,Toruń,"ul. Jurija Gagarina 152","WOJ. KUJAWSKO-POMORSKIE",2025-02-28
79/24,"Platinum Wines Spółka z ograniczoną odpowiedzialnością",02-724,Warszawa,"ul. Wołodyjowskiego 70/1","WOJ. MAZOWIECKIE",2025-03-31
80/24,"Wojciech Herian ""Karczma Pod Wielką Solą""",32-020,Wieliczka,"ul. Grunwaldzka 46","WOJ. MAŁOPOLSKIE",2025-03-09
81/24,"MD Constrution Michał Derda",81-155,Gdynia,"ul. płk. Stanisłąwa Dąbka 235D","WOJ. POMORSKIE",2025-03-31
82/24,"Polish Barrels Spółka z ograniczoną odpowiedzialnością",87-730,Nieszawa,"ul. Ciechocińska 37","WOJ. KUJAWSKO-POMORSKIE",2025-03-03
83/24,"DOM WINA  Prosta Spółka Akcyjna",30-198,KRAKÓW,"ul. Balicka 255 ","WOJ. MAŁOPOLSKIE",2025-03-31
84/24,"GURLEX  GROUP  PL   Spółka z ograniczoną odpowiedzialnością",30-444,Libertów,"ul. Bartnicka 35 ","WOJ. MAŁOPOLSKIE",2025-03-28
85/24,"ANPAH JANIAK  Spółka Komandytowa",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2025-03-29
86/24,"""NEPTUN"" Ship Service LTD.   Spółka  z ograniczoną odpowiedzialnością",81-334,Gdynia,"ul. Polska 43","WOJ. POMORSKIE",2025-04-06
87/24,"Hurtownia Wódki Góralskie WS & WG  Szymon Karabuła",34-500,Zakopane,"ul. Jana Kasprowicza 1","WOJ. MAŁOPOLSKIE",2025-03-04
88/24,"Przedsiębiorstwo Handlu Zagranicznego   ""BALTONA""   Spółka Akcyjna",02-146,Warszawa,"ul. Komitetu Obrony Robotników 49","WOJ. MAZOWIECKIE",2025-03-10
89/24,"Firma Galon Spółka z ograniczoną odpowiedzialnością",44-304,"Wodzisław Śląski","ul. Mszańska 4 C ","WOJ. ŚLĄSKIE",2025-03-23
90/24,"JNT GROUP  Spółka Akcyjna Spółka Komandytowa",95-082,Dobroń,"ul. Sienkiewicza 68","WOJ. ŁÓDZKIE",2025-05-11
91/24,"""GRZEŚ"" W. SZYMCZAK  Spółka komandytowa",56-500,Syców,"ul. Kaliska 7 ","WOJ. DOLNOŚLĄSKIE",2025-04-02
92/24,"""BEVGROUP""  Spółka z ograniczoną odpowiedzialnością",05-270,Marki,"ul. Okólna 45","WOJ. MAZOWIECKIE",2025-04-04
93/24,"                     P.P.H.U. MARUSARZ Andrzej Marusarz",34-424,"Bańska Niżna","ul. Papieska 114","WOJ. MAŁOPOLSKIE",2025-03-31
94/24,"Polska Fabryka Wódek Old Distillery  Spółka z ograniczoną odpowiedzialnością",61-464,Poznań,"ul. Chmielna 8 lok. 1 ","WOJ. WIELKOPOLSKIE",2025-03-24
95/24,"Renata Wrzesińska  MEGA-WAR",05-660,Warka,"ul. Puławska 36","WOJ. MAZOWIECKIE",2025-03-31
96/24,"MARSZAND X Spółka z ograniczoną odpowiedzialnością",00-477,Warszawa,"ul. Piękna 1A","WOJ. MAZOWIECKIE",2025-03-31
97/24,"PRYZMAT Walery Sulewski, Mirosław Sulewski Spółka komandytowa",22-500,Hrubieszów,"ul. Nowa 106A","WOJ. LUBELSKIE",2025-03-19
98/24,"Alfreda Perczak PPHU ""Pol-Trans-Catering"" Export-Import",42-460,Mierzęcice,"Osiedle nr 166","WOJ. ŚLĄSKIE",2025-03-28
99/24,"GRUPA AWW Spółka z ograniczoną odpowiedzialnością",62-800,Kalisz,"Niedźwiady 45","WOJ. WIELKOPOLSKIE",2025-04-25
100/24,"P.H.U. LECH-POL  Spółka z ograniczoną odpowiedzialnością",62-200,Gniezno,"ul. Leopolda Okulickiego 21","WOJ. WIELKOPOLSKIE",2025-03-31
101/24,"Zakład Przetwórstwa Owocowo-Warzywnego  ""ORZECH""  Spółka z ograniczoną odpowiedzialnością",36-100,Kolbuszowa,"ul. Rzeszowska 7 ","WOJ. PODKARPACKIE",2025-03-31
102/24,"""LEVER"" Spółka Jawna  Rabiński-Drąg",23-200,Kraśnik,"ul. Narutowicza 42 ","WOJ. LUBELSKIE",2025-03-31
103/24,"POLSKIE  LINIE  OCEANICZNE   Spółka Akcyjna",81-406,Gdynia,"Al. Marszałka Piłsudskiego 1","WOJ. POMORSKIE",2025-03-14
104/24,"Hurtownia  ""WAKO""   Witczak  Władysław",62-731,Przykona,"Psary, ul. Sportowa 22","WOJ. WIELKOPOLSKIE",2025-04-11
105/24,"Black Watch Spirits Polska Społka z ograniczoną odpowiedzialnością",00-695,Warszawa,"ul. Nowogrodzka 56A","WOJ. MAZOWIECKIE",2025-05-21
106/24,"""Tenczyńska Okovita"" Spółka Akcyjna",32-067,Tenczynek,"ul. Tenczyńska 59","WOJ. MAŁOPOLSKIE",2025-03-19
107/24,"CBMAX SPIRITS  Spółka z ograniczoną odpowiedzialnością",84-104,"Jastrzębia Góra, Władysławowo","ul. Zygmunta III 11 ","WOJ. POMORSKIE",2025-05-18
108/24,"KRAVT & CO. Spółka z ograniczoną odpowiedzialnością",02-715,Warszawa,"ul. Puławska 145","WOJ. MAZOWIECKIE",2025-03-24
109/24,"Kraft Alkohole Spółka z ograniczoną odpowiedzialnością",00-020,Warszawa,"ul. Chmielna 2/31","WOJ. MAZOWIECKIE",2025-03-31
110/24,"Good Vibes Distribution Spółka z ograniczoną odpowiedzialnością",02-650,Warszawa,"ul. Bukietowa 5/U1","WOJ. MAZOWIECKIE",2025-04-09
111/24,"GROCHOWICA POLSKA Spółka z ograniczoną odpowiedzialnością",67-410,"Stare Strącze","Stare Strącze 43","WOJ. LUBUSKIE",2025-03-31
112/24,"Katarzyna Turaj Przedsiębiorstwo Handlowo-Usługowe  ""KAMA""",45-340,Opole,"ul. Jakuba Kani 3 c/lok. 13","WOJ. OPOLSKIE",2025-04-15
113/24,"PGS   Spółka z ograniczoną odpowiedzialnością",01-205,Warszawa,"ul. Młynarska 7","WOJ. MAZOWIECKIE",2025-05-27
114/24,"Przedsiębiorstwo Handlowo-Usługowe   ""STANWOJ-HURT"" Spółka Jawna  Dobosz",07-104,Stoczek,"ul. Kolejowa 27 A ","WOJ. MAZOWIECKIE",2025-05-31
115/24,"VININOVA   Spółka z ograniczoną odpowiedzialnością",62-002,"Suchy Las","ul. Sprzeczna 22","WOJ. WIELKOPOLSKIE",2025-04-06
116/24,"Jan Wołoch Firma Handlowo-Produkcyjna ""Wołoch-Artykuły Spożywcze""",32-200,Miechów,"ul. Krótka 5","WOJ. MAŁOPOLSKIE",2025-04-19
117/24,"""ROAN SHIP CHANDLER""   Spółka z ograniczoną odpowiedzialnością",81-061,Gdynia,"ul. Hutnicza 61","WOJ. POMORSKIE",2025-05-04
118/24,"CIELEŚNICA Spółka Akcyjna",21-504,"Rokitno, Cieleśnica","Cieleśnica-Pałac 22","WOJ. LUBELSKIE",2025-04-20
119/24,"""Winnica Kamil Barczentewicz"" Wojciech Barczentewicz",20-710,Lublin,"ul. Julii 21","WOJ. LUBELSKIE",2025-04-07
120/24,"Podkarpacka Destylarnia  Okowity  Grzegorz Pińczuk",38-530,"Zarszyn, Długie","ul. Sanocka 123","WOJ. PODKARPACKIE",2025-04-30
