"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
81/23,"Polska Fabryka Wódek Old Distillery  Spółka z ograniczoną odpowiedzialnością",61-464,Poznań,"ul. Chmielna 8 lok. 1 ","WOJ. WIELKOPOLSKIE",2024-03-24
82/23,"Zakład Przetwórstwa Owocowo-Warzywnego  ""ORZECH""  Spółka z ograniczoną odpowiedzialnością",36-100,Kolbuszowa,"ul. Rzeszowska 7 ","WOJ. PODKARPACKIE",2024-03-31
83/23,"DOM WINA   Spółka z ograniczoną odpowiedzialnością",30-198,KRAKÓW,"ul. Balicka 255 ","WOJ. MAŁOPOLSKIE",2024-03-31
84/23,"MAROL  Spółka z ograniczoną odpowiedzialnością",61-249,Poznań,"ul. Stanisława Zwierzchowskiego 25","WOJ. WIELKOPOLSKIE",2024-04-10
85/23,"Renata Wrzesińska  MEGA-WAR",05-660,Warka,"ul. Puławska 36","WOJ. MAZOWIECKIE",2024-03-31
86/23,"Andrzej Koc Przedsiębiorstwo Usługowo-Handlowe ""KOCYK""",30-241,Kraków,"ul. Olszanicka 85","WOJ. MAŁOPOLSKIE",2024-05-28
87/23,"PGS   Spółka z ograniczoną odpowiedzialnością",01-205,Warszawa,"ul. Młynarska  7","WOJ. MAZOWIECKIE",2024-05-27
88/23,"""BEVGROUP""  Spółka z ograniczoną odpowiedzialnością",05-270,Marki,"ul. Okólna 45","WOJ. MAZOWIECKIE",2024-04-03
89/23,"PRYZMAT Walery Sulewski, Mirosław Sulewski Spółka komandytowa",22-500,Hrubieszów,"ul. Nowa 106A","WOJ. LUBELSKIE",2024-03-19
90/23,"Andrzej Marusarz Handel Obwoźny, Import Export",34-424,"Bańska Niżna","ul. Papieska 114","WOJ. MAŁOPOLSKIE",2024-03-31
91/23,"GROCHOWICA POLSKA Spółka z ograniczoną odpowiedzialnością",67-410,"Stare Strącze","Stare Strącze 43","WOJ. LUBUSKIE",2024-03-31
92/23,"""Tenczyńska Okovita"" Spółka Akcyjna",32-067,Tenczynek,"ul. Tenczyńska 59","WOJ. MAŁOPOLSKIE",2024-03-19
93/23,"GRUPA AWW Spółka z ograniczoną odpowiedzialnością",62-800,Kalisz,"Niedźwiady 45","WOJ. WIELKOPOLSKIE",2024-04-25
94/23,"Snacks and Dried Fish Spółka z ograniczoną odpowiedzialnością",30-039,Kraków,"ul. Józefitów 3/2","WOJ. MAŁOPOLSKIE",2024-03-22
95/23,"""LEVER"" Spółka Jawna  Rabiński-Drąg",23-200,Kraśnik,"ul. Narutowicza 42 ","WOJ. LUBELSKIE",2024-03-31
96/23,"VININOVA   Spółka z ograniczoną odpowiedzialnością",62-002,"Suchy Las","ul. Sprzeczna  22","WOJ. WIELKOPOLSKIE",2024-04-06
97/23,"CIELEŚNICA Spółka Akcyjna",21-504,"Rokitno, Cieleśnica","Cieleśnica-Pałac 22","WOJ. LUBELSKIE",2024-04-20
98/23,"KRAVT & CO. Spółka z ograniczoną odpowiedzialnością",02-715,Warszawa,"ul. Puławska 145","WOJ. MAZOWIECKIE",2024-03-24
99/23,"Hurtownia  ""WAKO""   Witczak  Władysław",62-731,Przykona,"Psary, ul. Sportowa   22","WOJ. WIELKOPOLSKIE",2024-04-11
100/23,"Platinum Wines Spółka z ograniczoną odpowiedzialnością",02-724,Warszawa,"ul. Wołodyjowskiego 70/1","WOJ. MAZOWIECKIE",2024-03-31
101/23,"Podkarpacka Destylarnia  Okowity  Grzegorz Pińczuk",38-530,"Zarszyn, Długie","ul. Sanocka 123","WOJ. PODKARPACKIE",2024-04-30
102/23,"Sebastian Sikorski Agencja Usługowo-Reklamowa   ""YED PRIOR""",57-500,"Bystrzyca Kłodzka","ul. Kolejowa 179","WOJ. DOLNOŚLĄSKIE",2024-04-10
103/23,"Katarzyna Turaj Przedsiębiorstwo Handlowo-Usługowe  ""KAMA""",45-340,Opole,"ul. Jakuba Kani 3 c/lok. 13","WOJ. OPOLSKIE",2024-04-15
104/23,"Czeskie Piwa Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",94-039,Łódź,"ul. Walerego Wróblewskiego 128","WOJ. ŁÓDZKIE",2024-04-14
105/23,"JAKOB HABERFELD STORY Spółka z ograniczoną odpowiedzialnością",43-300,Bielsko-Biała,"ul. Michała Grażyńskiego 339","WOJ. ŚLĄSKIE",2024-03-31
106/23,"Jan Wołoch Firma Handlowo-Produkcyjna ""Wołoch-Artykuły Spożywcze""",32-200,Miechów,"ul. Krótka 5","WOJ. MAŁOPOLSKIE",2024-04-19
107/23,"MARMAX  Spółka z ograniczoną odpowiedzialnością",38-120,Czudec,"ul. Kolejowa 2A","WOJ. PODKARPACKIE",2024-04-30
108/23,"JNT GROUP  Spółka Akcyjna Spółka Komandytowa",95-082,Dobroń,"ul. Sienkiewicza  68","WOJ. ŁÓDZKIE",2024-05-11
109/23,"Regionalne Przysmaki Spółka z ograniczoną odpowiedzialnością",15-107,Białystok,"ul. Racławicka 15","WOJ. PODLASKIE",2024-04-14
110/23,"Store Trade Spółka z ograniczoną odpowiedzialnością",45-340,Opole,"ul. Jakuba Kani 3C/13","WOJ. OPOLSKIE",2024-04-26
111/23,"FRESZ   Spółka Akcyjna",10-409,Olsztyn,"ul. Lubelska 36 A ","WOJ. WARMIŃSKO-MAZURSKIE",2024-04-10
112/23,"Manufaktura Luksusu Spółka z ograniczoną odpowiedzialnością",05-200,WOŁOMIN,"ul. Waryńskiego 1","WOJ. MAZOWIECKIE",2024-05-01
113/23,"Old Polish Vodka  Spółka z ograniczoną odpowiedzialnością",17-220,Narewka,"Lewkowo Stare 19 ","WOJ. PODLASKIE",2024-05-08
